"record_num","id","latitude","longitude","label","updated_at","occupancy_status","direction_id","current_stop_sequence"
7580,"y1863",42.34783877,-71.08817544,"1863","2023-06-14T19:56:11-04:00","FEW_SEATS_AVAILABLE",0,13
7581,"y1817",42.36600392,-71.10479049,"1817","2023-06-14T19:56:18-04:00","MANY_SEATS_AVAILABLE",1,6
7582,"y1786",42.34144649,-71.08302692,"1786","2023-06-14T19:56:16-04:00","MANY_SEATS_AVAILABLE",1,15
7583,"y1783",42.36072879,-71.09576008,"1783","2023-06-14T19:56:15-04:00","",0,16
7584,"y1778",42.35106679,-71.08960961,"1778","2023-06-14T19:56:10-04:00","MANY_SEATS_AVAILABLE",1,11
7585,"y1877",42.33132771,-71.07681306,"1877","2023-06-14T19:56:23-04:00","MANY_SEATS_AVAILABLE",1,21
7586,"y1863",42.34783877,-71.08817544,"1863","2023-06-14T19:56:11-04:00","FEW_SEATS_AVAILABLE",0,13
7587,"y1817",42.36600392,-71.10479049,"1817","2023-06-14T19:56:18-04:00","MANY_SEATS_AVAILABLE",1,7
7588,"y1786",42.3410752,-71.08240138,"1786","2023-06-14T19:56:22-04:00","MANY_SEATS_AVAILABLE",1,16
7589,"y1783",42.36088345,-71.09608563,"1783","2023-06-14T19:56:20-04:00","",0,16
7590,"y1778",42.35106679,-71.08960961,"1778","2023-06-14T19:56:10-04:00","MANY_SEATS_AVAILABLE",1,11
7591,"y1877",42.33136688,-71.07685121,"1877","2023-06-14T19:56:36-04:00","MANY_SEATS_AVAILABLE",1,21
7592,"y1863",42.3479132,-71.08850522,"1863","2023-06-14T19:56:35-04:00","FEW_SEATS_AVAILABLE",0,13
7593,"y1817",42.36592872,-71.10437479,"1817","2023-06-14T19:56:37-04:00","MANY_SEATS_AVAILABLE",1,7
7594,"y1786",42.34074988,-71.08204284,"1786","2023-06-14T19:56:34-04:00","MANY_SEATS_AVAILABLE",1,16
7595,"y1783",42.36147204,-71.0969333,"1783","2023-06-14T19:56:36-04:00","",0,16
7596,"y1778",42.35098,-71.08957,"1778","2023-06-14T19:56:31-04:00","MANY_SEATS_AVAILABLE",1,11
7597,"y1877",42.33129326,-71.07711049,"1877","2023-06-14T19:56:44-04:00","MANY_SEATS_AVAILABLE",1,21
